,Rank,Movie,year,genre,Runtime,Certificate,Rating
0,1.,The Shawshank Redemption,1994,Drama,142 min,A,9.3
1,2.,The Godfather,1972,"Crime, Drama",175 min,A,9.2
2,3.,The Dark Knight,2008,"Action, Crime, Drama",152 min,UA,9.0
3,4.,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201 min,U,9.0
4,5.,Schindler's List,1993,"Biography, Drama, History",195 min,A,9.0
5,6.,The Godfather Part II,1974,"Crime, Drama",202 min,A,9.0
6,7.,12 Angry Men,1957,"Crime, Drama",96 min,U,9.0
7,8.,Jai Bhim,2021,"Crime, Drama, Mystery",164 min,A,8.9
8,9.,Pulp Fiction,1994,"Crime, Drama",154 min,A,8.9
9,10.,Inception,2010,"Action, Adventure, Sci-Fi",148 min,UA,8.8
10,11.,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",179 min,UA,8.8
11,12.,Fight Club,1999,Drama,139 min,A,8.8
12,13.,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",178 min,U,8.8
13,14.,Forrest Gump,1994,"Drama, Romance",142 min,UA,8.8
14,15.,"Il buono, il brutto, il cattivo",1966,"Adventure, Western",161 min,A,8.8
15,16.,The Matrix,1999,"Action, Sci-Fi",136 min,A,8.7
16,17.,Goodfellas,1990,"Biography, Crime, Drama",145 min,A,8.7
17,18.,The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,UA,8.7
18,19.,One Flew Over the Cuckoo's Nest,1975,Drama,133 min,A,8.7
19,20.,Top Gun: Maverick,2022,"Action, Drama",130 min,UA,8.6
20,21.,Interstellar,2014,"Adventure, Drama, Sci-Fi",169 min,UA,8.6
21,22.,Cidade de Deus,2002,"Crime, Drama",130 min,A,8.6
22,23.,Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",125 min,U,8.6
23,24.,Saving Private Ryan,1998,"Drama, War",169 min,A,8.6
24,25.,The Green Mile,1999,"Crime, Drama, Fantasy",189 min,UA,8.6
25,26.,La vita è bella,1997,"Comedy, Drama, Romance",116 min,U,8.6
26,27.,Se7en,1995,"Crime, Drama, Mystery",127 min,A,8.6
27,28.,Terminator 2: Judgment Day,1991,"Action, Sci-Fi",137 min,A,8.6
